TC1
+--------+---------+----------------------------+-------------+
| Number | Decimal |           Binary           | Hexadecimal |
|   59   | 9302948 | 0b100011011111001110100100 |   0x8df3a4  |
|   60   | 2288712 |  0b1000101110110001001000  |   0x22ec48  |
|   61   |  197187 |    0b110000001001000011    |   0x30243   |
|   62   | 5266939 | 0b10100000101110111111011  |   0x505dfb  |
|   63   |  221545 |    0b110110000101101001    |   0x36169   |
|   64   | 7957027 | 0b11110010110101000100011  |   0x796a23  |
|   65   | 3195361 |  0b1100001100000111100001  |   0x30c1e1  |
|   66   | 7106269 | 0b11011000110111011011101  |   0x6c6edd  |
|   67   | 9633312 | 0b100100101111111000100000 |   0x92fe20  |
|   68   | 9713704 | 0b100101000011100000101000 |   0x943828  |
|   69   |  91925  |    0b10110011100010101     |   0x16715   |
|   70   | 4418686 | 0b10000110110110001111110  |   0x436c7e  |
|   71   | 9682250 | 0b100100111011110101001010 |   0x93bd4a  |
|   72   | 2583824 |  0b1001110110110100010000  |   0x276d10  |
|   73   | 4979126 | 0b10010111111100110110110  |   0x4bf9b6  |
|   74   | 6280954 | 0b10111111101011011111010  |   0x5fd6fa  |
|   75   | 1228610 |  0b100101011111101000010   |   0x12bf42  |
|   76   |  705518 |   0b10101100001111101110   |   0xac3ee   |
|   77   | 1017653 |   0b11111000011100110101   |   0xf8735   |
|   78   |  500098 |   0b1111010000110000010    |   0x7a182   |
|   79   | 7210727 | 0b11011100000011011100111  |   0x6e06e7  |
|   80   | 4250898 | 0b10000001101110100010010  |   0x40dd12  |
|   81   | 4055028 |  0b1111011101111111110100  |   0x3ddff4  |
|   82   | 2754240 |  0b1010100000011011000000  |   0x2a06c0  |
|   83   |  452999 |   0b1101110100110000111    |   0x6e987   |
|   84   | 6831458 | 0b11010000011110101100010  |   0x683d62  |
|   85   |  207636 |    0b110010101100010100    |   0x32b14   |
|   86   | 7280635 | 0b11011110001011111111011  |   0x6f17fb  |
|   87   | 3308937 |  0b1100100111110110001001  |   0x327d89  |
|   88   | 4303570 | 0b10000011010101011010010  |   0x41aad2  |
|   89   | 8375055 | 0b11111111100101100001111  |   0x7fcb0f  |
|   90   | 1457960 |  0b101100011111100101000   |   0x163f28  |
|   91   | 5197625 | 0b10011110100111100111001  |   0x4f4f39  |
|   92   | 3144371 |  0b1011111111101010110011  |   0x2ffab3  |
|   93   | 6674138 | 0b11001011101011011011010  |   0x65d6da  |
|   94   | 2692106 |  0b1010010001010000001010  |   0x29140a  |
|   95   | 2276769 |  0b1000101011110110100001  |   0x22bda1  |
|   96   | 1940971 |  0b111011001110111101011   |   0x1d9deb  |
|   97   | 3288264 |  0b1100100010110011001000  |   0x322cc8  |
|   98   | 4819803 | 0b10010011000101101011011  |   0x498b5b  |
|   99   | 9431005 | 0b100011111110011111011101 |   0x8fe7dd  |
|  100   | 3992019 |  0b1111001110100111010011  |   0x3ce9d3  |
|  101   | 8184782 | 0b11111001110001111001110  |   0x7ce3ce  |
|  102   | 2847975 |  0b1010110111010011100111  |   0x2b74e7  |
|  103   | 7891025 | 0b11110000110100001010001  |   0x786851  |
|  104   |  900082 |   0b11011011101111110010   |   0xdbbf2   |
|  105   | 1831532 |  0b110111111001001101100   |   0x1bf26c  |
|  106   | 8428253 | 0b100000001001101011011101 |   0x809add  |
|  107   | 2905752 |  0b1011000101011010011000  |   0x2c5698  |
|  108   | 9763121 | 0b100101001111100100110001 |   0x94f931  |
|  109   |  257890 |    0b111110111101100010    |   0x3ef62   |
|  110   | 4699761 | 0b10001111011011001110001  |   0x47b671  |
|  111   |  359541 |   0b1010111110001110101    |   0x57c75   |
|  112   | 3446150 |  0b1101001001010110000110  |   0x349586  |
|  113   | 4246818 | 0b10000001100110100100010  |   0x40cd22  |
|  114   | 1848840 |  0b111000011011000001000   |   0x1c3608  |
|  115   |  938480 |   0b11100101000111110000   |   0xe51f0   |
|  116   |  227465 |    0b110111100010001001    |   0x37889   |
|  117   | 3923488 |  0b1110111101111000100000  |   0x3bde20  |
|  118   | 8915697 | 0b100010000000101011110001 |   0x880af1  |
|  119   | 4309094 | 0b10000011100000001100110  |   0x41c066  |
|  120   | 3891251 |  0b1110110110000000110011  |   0x3b6033  |
|  121   | 8627956 | 0b100000111010011011110100 |   0x83a6f4  |
|  122   | 5884613 | 0b10110011100101011000101  |   0x59cac5  |
|  123   | 1659318 |  0b110010101000110110110   |   0x1951b6  |
|  124   | 1834855 |  0b110111111111101100111   |   0x1bff67  |
|  125   | 3386751 |  0b1100111010110101111111  |   0x33ad7f  |
|  126   | 3000166 |  0b1011011100011101100110  |   0x2dc766  |
|  127   | 9135626 | 0b100010110110011000001010 |   0x8b660a  |
|  128   | 4869260 | 0b10010100100110010001100  |   0x4a4c8c  |
|  129   |  76550  |    0b10010101100000110     |   0x12b06   |
|  130   |  432271 |   0b1101001100010001111    |   0x6988f   |
|  131   |  251028 |    0b111101010010010100    |   0x3d494   |
|  132   | 7016218 | 0b11010110000111100011010  |   0x6b0f1a  |
|  133   | 6896099 | 0b11010010011100111100011  |   0x6939e3  |
|  134   | 8386350 | 0b11111111111011100101110  |   0x7ff72e  |
|  135   | 8637147 | 0b100000111100101011011011 |   0x83cadb  |
|  136   |  936705 |   0b11100100101100000001   |   0xe4b01   |
|  137   | 6602175 | 0b11001001011110110111111  |   0x64bdbf  |
|  138   | 1429181 |  0b101011100111010111101   |   0x15cebd  |
|  139   | 8395138 | 0b100000000001100110000010 |   0x801982  |
|  140   | 6132809 | 0b10111011001010001001001  |   0x5d9449  |
|  141   | 5936917 | 0b10110101001011100010101  |   0x5a9715  |
|  142   | 2878578 |  0b1010111110110001110010  |   0x2bec72  |
|  143   |  158885 |    0b100110110010100101    |   0x26ca5   |
|  144   | 2441957 |  0b1001010100001011100101  |   0x2542e5  |
|  145   | 5914794 | 0b10110100100000010101010  |   0x5a40aa  |
|  146   | 3999272 |  0b1111010000011000101000  |   0x3d0628  |
|  147   | 3142897 |  0b1011111111010011110001  |   0x2ff4f1  |
|  148   | 8151159 | 0b11111000110000001110111  |   0x7c6077  |
|  149   | 5147564 | 0b10011101000101110101100  |   0x4e8bac  |
|  150   | 4595374 | 0b10001100001111010101110  |   0x461eae  |
|  151   | 4234951 | 0b10000001001111011000111  |   0x409ec7  |
|  152   | 7880605 | 0b11110000011111110011101  |   0x783f9d  |
|  153   | 7009921 | 0b11010101111011010000001  |   0x6af681  |
|  154   |  695580 |   0b10101001110100011100   |   0xa9d1c   |
|  155   | 7370443 | 0b11100000111011011001011  |   0x7076cb  |
|  156   | 7921729 | 0b11110001110000001000001  |   0x78e041  |
|  157   | 8419625 | 0b100000000111100100101001 |   0x807929  |
|  158   | 7024080 | 0b11010110010110111010000  |   0x6b2dd0  |
|  159   | 3905988 |  0b1110111001100111000100  |   0x3b99c4  |
|  160   | 1767599 |  0b110101111100010101111   |   0x1af8af  |
|  161   |  935136 |   0b11100100010011100000   |   0xe44e0   |
|  162   |  635788 |   0b10011011001110001100   |   0x9b38c   |
|  163   | 8807719 | 0b100001100110010100100111 |   0x866527  |
|  164   |  317375 |   0b1001101011110111111    |   0x4d7bf   |
|  165   | 9975410 | 0b100110000011011001110010 |   0x983672  |
|  166   | 2727968 |  0b1010011010000000100000  |   0x29a020  |
|  167   | 7444399 | 0b11100011001011110101111  |   0x7197af  |
|  168   | 4065675 |  0b1111100000100110001011  |   0x3e098b  |
|  169   | 9925720 | 0b100101110111010001011000 |   0x977458  |
|  170   | 2293633 |  0b1000101111111110000001  |   0x22ff81  |
|  171   | 7734826 | 0b11101100000011000101010  |   0x76062a  |
|  172   | 1065463 |  0b100000100000111110111   |   0x1041f7  |
|  173   | 1105617 |  0b100001101111011010001   |   0x10ded1  |
|  174   | 5325800 | 0b10100010100001111101000  |   0x5143e8  |
|  175   | 3822527 |  0b1110100101001110111111  |   0x3a53bf  |
|  176   | 5503858 | 0b10100111111101101110010  |   0x53fb72  |
|  177   | 9214055 | 0b100011001001100001100111 |   0x8c9867  |
|  178   | 6521769 | 0b11000111000001110101001  |   0x6383a9  |
|  179   | 7923796 | 0b11110001110100001010100  |   0x78e854  |
|  180   | 5250236 | 0b10100000001110010111100  |   0x501cbc  |
|  181   | 1083154 |  0b100001000011100010010   |   0x108712  |
|  182   |  472141 |   0b1110011010001001101    |   0x7344d   |
|  183   | 9597454 | 0b100100100111001000001110 |   0x92720e  |
|  184   | 1581679 |  0b110000010001001101111   |   0x18226f  |
|  185   |  656751 |   0b10100000010101101111   |   0xa056f   |
|  186   |  345464 |   0b1010100010101111000    |   0x54578   |
|  187   | 4281218 | 0b10000010101001110000010  |   0x415382  |
|  188   | 6558883 | 0b11001000001010010100011  |   0x6414a3  |
|  189   | 3852986 |  0b1110101100101010111010  |   0x3acaba  |
|  190   | 6263187 | 0b10111111001000110010011  |   0x5f9193  |
|  191   | 5828308 | 0b10110001110111011010100  |   0x58eed4  |
|  192   | 8058535 | 0b11110101111011010100111  |   0x7af6a7  |
|  193   | 9035191 | 0b100010011101110110110111 |   0x89ddb7  |
|  194   | 7922103 | 0b11110001110000110110111  |   0x78e1b7  |
|  195   | 9366003 | 0b100011101110100111110011 |   0x8ee9f3  |
|  196   | 4555717 | 0b10001011000001111000101  |   0x4583c5  |
|  197   | 3526753 |  0b1101011101000001100001  |   0x35d061  |
|  198   | 3176815 |  0b1100000111100101101111  |   0x30796f  |
|  199   |  858440 |   0b11010001100101001000   |   0xd1948   |
|  200   | 2250854 |  0b1000100101100001100110  |   0x225866  |
+--------+---------+----------------------------+-------------+ 

 TOTAL TIME OF EXECUTION: 0.000 SECONDS

TC2
+--------+---------+----------------------------+-------------+
| Number | Decimal |           Binary           | Hexadecimal |
+--------+---------+----------------------------+-------------+
|   1    | 7116776 | 0b11011001001011111101000  |   0x6c97e8  |
|   2    | 1666340 |  0b110010110110100100100   |   0x196d24  |
|   3    | 8886983 | 0b100001111001101011000111 |   0x879ac7  |
|   4    |  839365 |   0b11001100111011000101   |   0xccec5   |
|   5    |  924280 |   0b11100001101001111000   |   0xe1a78   |
|   6    | 1026310 |   0b11111010100100000110   |   0xfa906   |
|   7    | 1615293 |  0b110001010010110111101   |   0x18a5bd  |
|   8    | 1063875 |  0b100000011101111000011   |   0x103bc3  |
|   9    |  679035 |   0b10100101110001111011   |   0xa5c7b   |
|   10   | 5201970 | 0b10011110110000000110010  |   0x4f6032  |
|   11   |  593979 |   0b10010001000000111011   |   0x9103b   |
|   12   |  801371 |   0b11000011101001011011   |   0xc3a5b   |
|   13   | 3796878 |  0b1110011110111110001110  |   0x39ef8e  |
|   14   | 7489201 | 0b11100100100011010110001  |   0x7246b1  |
|   15   | 9740020 | 0b100101001001111011110100 |   0x949ef4  |
|   16   | 9128737 | 0b100010110100101100100001 |   0x8b4b21  |
|   17   | 5473463 | 0b10100111000010010110111  |   0x5384b7  |
|   18   | 8701957 | 0b100001001100100000000101 |   0x84c805  |
|   19   | 8238050 | 0b11111011011001111100010  |   0x7db3e2  |
|   20   | 8679038 | 0b100001000110111001111110 |   0x846e7e  |
|   21   |  385912 |   0b1011110001101111000    |   0x5e378   |
|   22   | 5867340 | 0b10110011000011101001100  |   0x59874c  |
|   23   | 4894542 | 0b10010101010111101001110  |   0x4aaf4e  |
|   24   | 8999451 | 0b100010010101001000011011 |   0x89521b  |
|   25   | 4392535 | 0b10000110000011001010111  |   0x430657  |
|   26   | 2078131 |  0b111111011010110110011   |   0x1fb5b3  |
|   27   | 3070124 |  0b1011101101100010101100  |   0x2ed8ac  |
|   28   | 7451998 | 0b11100011011010101011110  |   0x71b55e  |
|   29   | 5635510 | 0b10101011111110110110110  |   0x55fdb6  |
|   30   | 1233932 |  0b100101101010000001100   |   0x12d40c  |
|   31   | 6089867 | 0b10111001110110010001011  |   0x5cec8b  |
|   32   | 1792316 |  0b110110101100100111100   |   0x1b593c  |
|   33   | 6298637 | 0b11000000001110000001101  |   0x601c0d  |
|   34   | 2408038 |  0b1001001011111001100110  |   0x24be66  |
|   35   | 8510100 | 0b100000011101101010010100 |   0x81da94  |
|   36   |  991581 |   0b11110010000101011101   |   0xf215d   |
|   37   | 6455739 | 0b11000101000000110111011  |   0x6281bb  |
|   38   | 7829175 | 0b11101110111011010110111  |   0x7776b7  |
|   39   | 6328931 | 0b11000001001001001100011  |   0x609263  |
|   40   | 9982305 | 0b100110000101000101100001 |   0x985161  |
|   41   | 2292022 |  0b1000101111100100110110  |   0x22f936  |
|   42   | 1070496 |  0b100000101010110100000   |   0x1055a0  |
|   43   | 8518360 | 0b100000011111101011011000 |   0x81fad8  |
|   44   | 6378470 | 0b11000010101001111100110  |   0x6153e6  |
|   45   | 7756258 | 0b11101100101100111100010  |   0x7659e2  |
|   46   | 7111767 | 0b11011001000010001010111  |   0x6c8457  |
|   47   | 2685897 |  0b1010001111101111001001  |   0x28fbc9  |
|   48   |  617946 |   0b10010110110111011010   |   0x96dda   |
|   49   |  246280 |    0b111100001000001000    |   0x3c208   |
|   50   | 6075442 | 0b10111001011010000110010  |   0x5cb432  |
|   51   |  991323 |   0b11110010000001011011   |   0xf205b   |
|   52   | 6754202 | 0b11001110000111110011010  |   0x670f9a  |
|   53   | 3103178 |  0b1011110101100111001010  |   0x2f59ca  |
|   54   | 3228842 |  0b1100010100010010101010  |   0x3144aa  |
|   55   | 6786623 | 0b11001111000111000111111  |   0x678e3f  |
|   56   | 5329085 | 0b10100010101000010111101  |   0x5150bd  |
|   57   | 2334647 |  0b1000111001111110110111  |   0x239fb7  |
|   58   | 7253396 | 0b11011101010110110010100  |   0x6ead94  |
|   59   | 6516953 | 0b11000110111000011011001  |   0x6370d9  |
|   60   | 5972725 | 0b10110110010001011110101  |   0x5b22f5  |
|   61   | 5828037 | 0b10110001110110111000101  |   0x58edc5  |
|   62   | 6642265 | 0b11001010101101001011001  |   0x655a59  |
|   63   | 2559699 |  0b1001110000111011010011  |   0x270ed3  |
|   64   | 6597631 | 0b11001001010101111111111  |   0x64abff  |
|   65   | 5826202 | 0b10110001110011010011010  |   0x58e69a  |
|   66   | 4642335 | 0b10001101101011000011111  |   0x46d61f  |
|   67   | 1862900 |  0b111000110110011110100   |   0x1c6cf4  |
|   68   | 6039635 | 0b10111000010100001010011  |   0x5c2853  |
|   69   | 3358744 |  0b1100110100000000011000  |   0x334018  |
|   70   | 4965249 | 0b10010111100001110000001  |   0x4bc381  |
|   71   | 6621475 | 0b11001010000100100100011  |   0x650923  |
|   72   | 3336153 |  0b1100101110011111011001  |   0x32e7d9  |
|   73   | 1044743 |   0b11111111000100000111   |   0xff107   |
|   74   | 6201477 | 0b10111101010000010000101  |   0x5ea085  |
|   75   | 6297100 | 0b11000000001011000001100  |   0x60160c  |
|   76   |  885678 |   0b11011000001110101110   |   0xd83ae   |
|   77   | 8546891 | 0b100000100110101001001011 |   0x826a4b  |
|   78   | 6683923 | 0b11001011111110100010011  |   0x65fd13  |
|   79   | 7064472 | 0b11010111100101110011000  |   0x6bcb98  |
|   80   | 3430021 |  0b1101000101011010000101  |   0x345685  |
|   81   | 9764122 | 0b100101001111110100011010 |   0x94fd1a  |
|   82   | 9958605 | 0b100101111111010011001101 |   0x97f4cd  |
|   83   | 1006022 |   0b11110101100111000110   |   0xf59c6   |
|   84   | 5276496 | 0b10100001000001101010000  |   0x508350  |
|   85   | 8876232 | 0b100001110111000011001000 |   0x8770c8  |
|   86   | 3364648 |  0b1100110101011100101000  |   0x335728  |
|   87   | 3539979 |  0b1101100000010000001011  |   0x36040b  |
|   88   | 3003857 |  0b1011011101010111010001  |   0x2dd5d1  |
|   89   | 4481634 | 0b10001000110001001100010  |   0x446262  |
|   90   | 9035781 | 0b100010011110000000000101 |   0x89e005  |
|   91   | 3767021 |  0b1110010111101011101101  |   0x397aed  |
|   92   | 4993901 | 0b10011000011001101101101  |   0x4c336d  |
|   93   | 8698377 | 0b100001001011101000001001 |   0x84ba09  |
|   94   | 4626501 | 0b10001101001100001000101  |   0x469845  |
|   95   | 1755352 |  0b110101100100011011000   |   0x1ac8d8  |
|   96   | 2755340 |  0b1010100000101100001100  |   0x2a0b0c  |
|   97   | 5150616 | 0b10011101001011110011000  |   0x4e9798  |
|   98   | 9345169 | 0b100011101001100010010001 |   0x8e9891  |
|   99   |  848948 |   0b11001111010000110100   |   0xcf434   |
|  100   | 2708748 |  0b1010010101010100001100  |   0x29550c  |
|  101   | 8372451 | 0b11111111100000011100011  |   0x7fc0e3  |
|  102   | 3523015 |  0b1101011100000111000111  |   0x35c1c7  |
|  103   | 2624283 |  0b1010000000101100011011  |   0x280b1b  |
|  104   | 8795348 | 0b100001100011010011010100 |   0x8634d4  |
|  105   | 2318100 |  0b1000110101111100010100  |   0x235f14  |
|  106   | 4750861 | 0b10010000111111000001101  |   0x487e0d  |
|  107   | 3770597 |  0b1110011000100011100101  |   0x3988e5  |
|  108   | 1053352 |  0b100000001001010101000   |   0x1012a8  |
|  109   |  833307 |   0b11001011011100011011   |   0xcb71b   |
|  110   | 4632526 | 0b10001101010111111001110  |   0x46afce  |
|  111   | 2212917 |  0b1000011100010000110101  |   0x21c435  |
|  112   | 5053189 | 0b10011010001101100000101  |   0x4d1b05  |
|  113   |  412218 |   0b1100100101000111010    |   0x64a3a   |
|  114   | 4901564 | 0b10010101100101010111100  |   0x4acabc  |
|  115   | 5094606 | 0b10011011011110011001110  |   0x4dbcce  |
|  116   | 8070285 | 0b11110110010010010001101  |   0x7b248d  |
|  117   | 6847905 | 0b11010000111110110100001  |   0x687da1  |
|  118   | 4311824 | 0b10000011100101100010000  |   0x41cb10  |
|  119   | 3009421 |  0b1011011110101110001101  |   0x2deb8d  |
|  120   | 1629105 |  0b110001101101110110001   |   0x18dbb1  |
|  121   | 8431899 | 0b100000001010100100011011 |   0x80a91b  |
|  122   | 7582456 | 0b11100111011001011111000  |   0x73b2f8  |
|  123   | 7332147 | 0b11011111110000100110011  |   0x6fe133  |
|  124   |  314183 |   0b1001100101101000111    |   0x4cb47   |
|  125   | 7632568 | 0b11101000111011010111000  |   0x7476b8  |
|  126   | 8161327 | 0b11111001000100000101111  |   0x7c882f  |
|  127   | 6961087 | 0b11010100011011110111111  |   0x6a37bf  |
|  128   | 6898282 | 0b11010010100001001101010  |   0x69426a  |
|  129   | 9749303 | 0b100101001100001100110111 |   0x94c337  |
|  130   | 4427419 | 0b10000111000111010011011  |   0x438e9b  |
|  131   | 4368829 | 0b10000101010100110111101  |   0x42a9bd  |
|  132   | 6439318 | 0b11000100100000110010110  |   0x624196  |
|  133   | 6473603 | 0b11000101100011110000011  |   0x62c783  |
|  134   | 6446249 | 0b11000100101110010101001  |   0x625ca9  |
|  135   | 9818836 | 0b100101011101001011010100 |   0x95d2d4  |
|  136   | 9438069 | 0b100100000000001101110101 |   0x900375  |
|  137   | 2809499 |  0b1010101101111010011011  |   0x2ade9b  |
|  138   | 3460304 |  0b1101001100110011010000  |   0x34ccd0  |
|  139   | 8430904 | 0b100000001010010100111000 |   0x80a538  |
|  140   | 9774785 | 0b100101010010011011000001 |   0x9526c1  |
|  141   | 9560603 | 0b100100011110001000011011 |   0x91e21b  |
|  142   | 3440732 |  0b1101001000000001011100  |   0x34805c  |
|  143   | 7053263 | 0b11010111001111111001111  |   0x6b9fcf  |
|  144   |  287398 |   0b1000110001010100110    |   0x462a6   |
|  145   | 4043644 |  0b1111011011001101111100  |   0x3db37c  |
|  146   | 2943820 |  0b1011001110101101001100  |   0x2ceb4c  |
|  147   | 9030962 | 0b100010011100110100110010 |   0x89cd32  |
|  148   | 7537540 | 0b11100110000001110000100  |   0x730384  |
|  149   | 7203657 | 0b11011011110101101001001  |   0x6deb49  |
|  150   | 5639400 | 0b10101100000110011101000  |   0x560ce8  |
|  151   | 9448142 | 0b100100000010101011001110 |   0x902ace  |
|  152   | 9954392 | 0b100101111110010001011000 |   0x97e458  |
|  153   | 2856859 |  0b1010111001011110011011  |   0x2b979b  |
|  154   | 1332118 |  0b101000101001110010110   |   0x145396  |
|  155   | 6984725 | 0b11010101001010000010101  |   0x6a9415  |
|  156   | 1925762 |  0b111010110001010000010   |   0x1d6282  |
|  157   | 2138171 |  0b1000001010000000111011  |   0x20a03b  |
|  158   |  347447 |   0b1010100110100110111    |   0x54d37   |
|  159   | 8839390 | 0b100001101110000011011110 |   0x86e0de  |
|  160   | 3951652 |  0b1111000100110000100100  |   0x3c4c24  |
|  161   | 3755102 |  0b1110010100110001011110  |   0x394c5e  |
|  162   | 6867687 | 0b11010001100101011100111  |   0x68cae7  |
|  163   | 4383175 | 0b10000101110000111000111  |   0x42e1c7  |
|  164   | 7125508 | 0b11011001011101000000100  |   0x6cba04  |
|  165   | 7799732 | 0b11101110000001110110100  |   0x7703b4  |
|  166   | 8784156 | 0b100001100000100100011100 |   0x86091c  |
|  167   | 1372809 |  0b101001111001010001001   |   0x14f289  |
|  168   | 1327984 |  0b101000100001101110000   |   0x144370  |
|  169   | 9205087 | 0b100011000111010101011111 |   0x8c755f  |
|  170   | 6524241 | 0b11000111000110101010001  |   0x638d51  |
|  171   | 9316072 | 0b100011100010011011101000 |   0x8e26e8  |
|  172   |  127744 |    0b11111001100000000     |   0x1f300   |
|  173   | 8388820 | 0b100000000000000011010100 |   0x8000d4  |
|  174   | 6883557 | 0b11010010000100011100101  |   0x6908e5  |
|  175   | 2291239 |  0b1000101111011000100111  |   0x22f627  |
|  176   | 3101270 |  0b1011110101001001010110  |   0x2f5256  |
|  177   | 1382825 |  0b101010001100110101001   |   0x1519a9  |
|  178   | 9873376 | 0b100101101010011111100000 |   0x96a7e0  |
|  179   | 6873500 | 0b11010001110000110011100  |   0x68e19c  |
|  180   | 8185634 | 0b11111001110011100100010  |   0x7ce722  |
|  181   | 2464786 |  0b1001011001110000010010  |   0x259c12  |
|  182   | 8387154 | 0b11111111111101001010010  |   0x7ffa52  |
|  183   | 5581444 | 0b10101010010101010000100  |   0x552a84  |
|  184   | 8097911 | 0b11110111001000001110111  |   0x7b9077  |
|  185   | 8882527 | 0b100001111000100101011111 |   0x87895f  |
|  186   | 8941444 | 0b100010000110111110000100 |   0x886f84  |
|  187   | 4942703 | 0b10010110110101101101111  |   0x4b6b6f  |
|  188   |  101144 |    0b11000101100011000     |   0x18b18   |
|  189   | 7471180 | 0b11100100000000001001100  |   0x72004c  |
|  190   | 1932131 |  0b111010111101101100011   |   0x1d7b63  |
|  191   | 8052752 | 0b11110101110000000010000  |   0x7ae010  |
|  192   | 6359493 | 0b11000010000100111000101  |   0x6109c5  |
|  193   | 1967646 |  0b111100000011000011110   |   0x1e061e  |
|  194   | 6575052 | 0b11001000101001111001100  |   0x6453cc  |
|  195   | 2323342 |  0b1000110111001110001110  |   0x23738e  |
|  196   | 6735760 | 0b11001101100011110010000  |   0x66c790  |
|  197   | 8895858 | 0b100001111011110101110010 |   0x87bd72  |
|  198   | 4238091 | 0b10000001010101100001011  |   0x40ab0b  |
|  199   | 7093069 | 0b11011000011101101001101  |   0x6c3b4d  |
|  200   |    39   |          0b100111          |     0x27    |
+--------+---------+----------------------------+-------------+ 

 TOTAL TIME OF EXECUTION: 0.000 SECONDS

TC3
+--------+---------+----------------------------------+-------------+
| Number | Decimal |              Binary              | Hexadecimal |
+--------+---------+----------------------------------+-------------+
|   1    |   -39   | 11111111111111111111111111011001 |    -0x27    |
|   2    |   -36   | 11111111111111111111111111011100 |    -0x24    |
|   3    |    8    |              0b1000              |     0x8     |
|   4    |    34   |             0b100010             |     0x22    |
|   5    |    17   |             0b10001              |     0x11    |
|   6    |    49   |             0b110001             |     0x31    |
|   7    |    5    |              0b101               |     0x5     |
|   8    |    39   |             0b100111             |     0x27    |
|   9    |    0    |               0b0                |     0x0     |
|   10   |    33   |             0b100001             |     0x21    |
